Service,Operation,DefaultProtocol,RestAccess,SoapAccess,Soap.Operation,Soap.TargetNameSpace,Rest.Path,Rest.Method,Rest.x-internal-id,Rest.operationId
Activity,CopyActivity,rest,TRUE,TRUE,CopyActivity,/Activity/V1,/activity/copyActivity,post,activity-copy,copyActivity
Activity,CreateActivities,rest,TRUE,TRUE,CreateActivities,/Activity/V1,/activity,post,activity-create,createActivity
Activity,DeleteActivities,rest,TRUE,TRUE,DeleteActivities,/Activity/V1,/activity,delete,activity-delete,deleteActivity
Activity,DissolveActivity,soap,FALSE,TRUE,DissolveActivity,/Activity/V1,,,,
Activity,getActivityFields,rest,TRUE,FALSE,,,/activity/fields,get,activity-getFieldLength-{fieldName},getActivityFields
Activity,getFieldLengthActivity,rest,TRUE,TRUE,getFieldLengthActivity,/Activity/V1,/activity/getFieldLength/{fieldName},get,activity-getFieldLength-{fieldName},getActivityFieldLength
Activity,ReadActivities,rest,TRUE,TRUE,ReadActivities,/Activity/V1,/activity,get,activity-load,getActivities
Activity,ReadAllActivitiesByWBS,soap,FALSE,TRUE,ReadAllActivitiesByWBS,/Activity/V1,,,,
Activity,UpdateActivities,rest,TRUE,TRUE,UpdateActivities,/Activity/V1,/activity,put,activity-update,updateActivity
ActivityCode,CreateActivityCodes,rest,TRUE,TRUE,CreateActivityCodes,/ActivityCode/V1,/activityCode,post,activityCode-create,createActivityCode
ActivityCode,DeleteActivityCodes,rest,TRUE,TRUE,DeleteActivityCodes,/ActivityCode/V1,/activityCode,delete,activityCode-delete,deleteActivityCode
ActivityCode,getActivityCodeFields,rest,TRUE,FALSE,,,/activityCode/fields,get,activityCode-getFieldLength-{fieldName},getActivityCodeFields
ActivityCode,getFieldLengthActivityCode,rest,TRUE,TRUE,getFieldLengthActivityCode,/ActivityCode/V1,/activityCode/getFieldLength/{fieldName},get,activityCode-getFieldLength-{fieldName},getActivityCodeFieldLength
ActivityCode,LoadActivities,soap,FALSE,TRUE,LoadActivities,/ActivityCode/V1,,,,
ActivityCode,ReadActivityCodePath,soap,FALSE,TRUE,ReadActivityCodePath,/ActivityCode/V1,,,,
ActivityCode,ReadActivityCodes,rest,TRUE,TRUE,ReadActivityCodes,/ActivityCode/V1,/activityCode,get,activityCode-load,getActivityCodes
ActivityCode,UpdateActivityCodes,rest,TRUE,TRUE,UpdateActivityCodes,/ActivityCode/V1,/activityCode,put,activityCode-update,updateActivityCode
